D1,D2,RR,EXP_PROB1,EXP_PROB0,AR,PROBZ
1000,1301,0.642444977,0.000980492,0.001526188,-0.000545696,9.69E-10
1000,1303,0.912395549,0.000526471,0.00057702,-0.000050549,0.359344923
1000,1305,0.58766506,0.016079096,0.027360987,-0.011281891,0
1000,1306,0.743999612,0.003463116,0.004654728,-0.001191612,1.95E-14
1000,1308,0.909678256,0.676655123,0.743840054,-0.067184931,0
1000,1309,0.856993974,0.667362188,0.778724481,-0.111362293,0
1000,1310,0.712642956,0.265051512,0.371927499,-0.106875987,0
1000,1311,0.703908141,0.396099286,0.562714454,-0.166615168,0
1000,1312,0.617526899,0.182071977,0.29484056,-0.112768583,0
1000,1313,1.006047221,0.71766189,0.713348116,0.004313774,0.0000309
1000,1314,0.746070088,0.527002159,0.706370845,-0.179368686,0
1000,1315,0.647820606,0.080579021,0.124384777,-0.043805756,0
1000,1316,0.644032763,0.192625544,0.299092772,-0.106467228,0
1000,1317,0.664808235,0.001487642,0.002237702,-0.00075006,3.82E-12
1000,1318,0.668039878,0.130588923,0.19548073,-0.064891807,0
1000,1319,0.614921712,0.056047411,0.091145605,-0.035098194,0
1000,1320,0.659750782,0.081868633,0.124090241,-0.042221608,0
1000,1321,0.670330752,0.019233091,0.028691942,-0.009458851,0
1000,1322,0.714549586,0.127290028,0.17814023,-0.050850202,0
1000,1323,0.67590161,0.031791112,0.047035118,-0.015244006,0
1000,1324,0.625779902,0.155970614,0.249241968,-0.093271354,0
1000,1327,0.796489722,0.000333271,0.000418424,-0.000085153,0.068837698
1000,1335,0.801568787,0.00026082,0.000325388,-0.000064568,0.11776632
1000,1337,0.835164088,0.001709823,0.00204729,-0.000337467,0.001118397
1000,1338,0.882904888,0.005641449,0.006389645,-0.000748196,0.0000428
1000,1339,0.829032135,0.009051435,0.010918075,-0.00186664,4.66E-15
1000,1340,0.969109803,0.000569941,0.000588108,-0.000018167,0.744755958
1000,1341,0.733196787,0.00632731,0.008629757,-0.002302447,0
1000,1342,0.781054143,0.004332517,0.005547013,-0.001214496,9.05E-13
1000,1343,0.667623105,0.007964683,0.011929909,-0.003965226,0
1000,1344,0.627931478,0.017445988,0.027783268,-0.01033728,0
1000,1345,0.603963326,0.062765952,0.10392345,-0.041157498,0
1000,1346,0.587249761,0.005226069,0.008899226,-0.003673157,0
1000,1347,0.733142183,0.000710011,0.00096845,-0.000258439,0.00027869
1000,1348,0.806414386,0.090895918,0.112716142,-0.021820224,0
1000,1349,0.677104642,0.010626017,0.015693316,-0.005067299,0
1000,1350,0.853581824,0.023865069,0.027958736,-0.004093667,0
1000,1352,0.781412274,0.277566062,0.355210779,-0.077644717,0
1000,1353,0.693075626,0.068822782,0.099300538,-0.030477756,0
1000,1354,0.753367779,0.018030419,0.023933091,-0.005902672,0
1000,1355,0.629704267,0.002786915,0.004425751,-0.001638836,0
1000,1356,0.900572074,0.000729331,0.000809853,-0.000080522,0.217526577
1000,1357,0.765690708,0.000845251,0.001103907,-0.000258656,0.000660263
1000,1358,0.735720583,0.176005487,0.239228711,-0.063223224,0
1000,1360,0.566024243,0.011707939,0.020684519,-0.00897658,0
1000,1361,0.836007296,0.000323611,0.000387091,-0.00006348,0.158897547
1000,1362,0.754927527,0.082540005,0.109335005,-0.026795,0
1000,1363,0.671565794,0.178628181,0.265987611,-0.08735943,0
1000,1364,0.658583082,0.008694014,0.013201089,-0.004507075,0
1000,1365,0.667155393,0.002361874,0.003540216,-0.001178342,0
1000,1366,0.858219745,0.007843933,0.009139772,-0.001295839,2.90E-09
1000,1367,0.814709259,0.000598921,0.000735135,-0.000136214,0.028154178
1000,1369,0.869043853,0.016310937,0.01876883,-0.002457893,3.11E-15
1000,1370,0.782542269,0.000492661,0.000629565,-0.000136904,0.017047378
1000,1371,0.643389198,0.000396061,0.000615585,-0.000219524,0.000107985
1000,1372,0.669339989,0.000473341,0.000707175,-0.000233834,0.00011871
1000,1374,0.652906906,0.006781331,0.010386368,-0.003605037,0
1000,1375,0.433838776,0.000507151,0.001168985,-0.000661834,0
1000,1376,0.609236156,0.111379982,0.182819061,-0.071439079,0
1000,1377,0.726878891,0.115074938,0.15831377,-0.043238832,0
1000,1378,0.680691275,0.119818005,0.176024006,-0.056206001,0
1000,1379,0.65683587,0.081728563,0.12442768,-0.042699117,0
1000,1380,0.819579295,0.003129845,0.003818844,-0.000688999,1.08E-06
1000,1381,0.658576368,0.074217901,0.112694449,-0.038476548,0
1000,1383,0.656507825,0.003023585,0.004605558,-0.001581973,0
1000,1385,0.704692186,0.186901985,0.265224999,-0.078323014,0
1000,1386,0.736269324,0.050314192,0.068336668,-0.018022476,0
1000,1387,0.879950408,0.011070378,0.012580684,-0.001510306,3.56E-09
1000,1388,0.719397941,0.336226508,0.467372075,-0.131145567,0
1000,1389,0.676796034,0.136433232,0.201586927,-0.065153695,0
1000,1390,0.672978108,0.054216838,0.080562559,-0.026345721,0
1000,1391,0.626016384,0.000903212,0.001442792,-0.00053958,5.08E-10
1000,1392,0.663997953,0.004033057,0.006073899,-0.002040842,0
1000,1393,0.655281643,0.0308879,0.047136831,-0.016248931,0
1000,1394,0.596902684,0.033539575,0.056189351,-0.022649776,0
1000,1395,0.674459561,0.168736325,0.250180048,-0.081443723,0
1000,1396,0.764792484,0.004013737,0.005248138,-0.001234401,8.26E-14
1000,1397,0.664721529,0.000526471,0.000792017,-0.000265546,0.000036269
1000,1398,0.735034313,0.008191693,0.011144641,-0.002952948,0
1000,1399,0.623810419,0.000545791,0.000874931,-0.00032914,1.12E-06
1000,1400,0.578507413,0.004033057,0.006971486,-0.002938429,0
1000,1401,0.685886072,0.268731978,0.391802647,-0.123070669,0
1000,1402,0.645913241,0.00588295,0.009107956,-0.003225006,0
1000,1403,0.654077301,0.004289047,0.006557401,-0.002268354,0
1000,1404,0.725066941,0.031013481,0.042773265,-0.011759784,0
1000,1405,0.680820866,0.010341047,0.015189086,-0.004848039,0
1000,1407,0.919221361,0.013731712,0.014938417,-0.001206705,0.000015
1000,1408,0.737533104,0.001840233,0.002495119,-0.000654886,9.43E-09
1000,1409,0.737352667,0.013079661,0.017738678,-0.004659017,0
1000,1410,0.765050132,0.022633417,0.029584227,-0.00695081,0
1000,1411,0.670659484,0.007558962,0.011270939,-0.003711977,0
1000,1412,1.0096712,0.001328252,0.001315529,0.000012723,0.879006928
1000,1413,0.636932672,0.005602809,0.008796549,-0.00319374,0
1000,1414,0.664663145,0.004718918,0.007099713,-0.002380795,0
1000,1416,0.60476617,0.000748651,0.001237919,-0.000489268,1.18E-09
1000,1417,0.728704768,0.054496979,0.074786088,-0.020289109,0
1000,1418,0.635968835,0.03046286,0.047899925,-0.017437065,0
1000,1420,0.946124148,0.000294631,0.000311408,-0.000016777,0.679222995
1000,1421,0.635198886,0.004231087,0.006661043,-0.002429956,0
1000,1422,0.771922284,0.010181657,0.013190002,-0.003008345,0
1000,1424,0.68705896,0.000869401,0.001265396,-0.000395995,1.10E-06
1000,1425,0.834119803,0.000792121,0.000949649,-0.000157528,0.025573029
1000,1426,0.695083171,0.002386024,0.003432717,-0.001046693,4.88E-15
1000,1427,0.834754864,0.009481306,0.011358191,-0.001876885,1.11E-14
1000,1428,0.797422837,0.016610397,0.0208301,-0.004219703,0
1000,1429,0.623917876,0.015914876,0.025507966,-0.00959309,0
1000,1430,0.702382928,0.075154923,0.106999928,-0.031845005,0
1000,1431,0.57962333,0.002951135,0.00509147,-0.002140335,0
1000,1434,0.67801871,0.000304291,0.000448794,-0.000144503,0.002832182
1000,1436,0.649486726,0.000429871,0.000661862,-0.000231991,0.0000793
1000,1437,0.805553115,0.032694323,0.04058618,-0.007891857,0
1000,1438,0.871106934,0.006713711,0.007707103,-0.000993392,7.37E-07
1000,1439,0.901907238,0.008568434,0.00950035,-0.000931916,0.0000287
1000,1440,0.813374103,0.088799695,0.10917448,-0.020374785,0
1000,1441,0.705010351,0.019957593,0.028308226,-0.008350633,0
1000,1442,0.692146192,0.078869199,0.113948758,-0.035079559,0
1000,1443,0.744508015,0.162892016,0.218791487,-0.055899471,0
1000,1444,0.788385089,0.001444172,0.001831811,-0.000387639,0.0000745
1000,1445,0.736173623,0.000371911,0.000505194,-0.000133283,0.009471111
1000,1448,0.618011442,0.004883138,0.007901371,-0.003018233,0
1000,1449,0.649888832,0.015470515,0.023804864,-0.008334349,0
1000,1450,0.733728931,0.001473152,0.002007761,-0.000534609,1.76E-07
1000,1451,0.864240136,0.000748651,0.000866254,-0.000117603,0.081238108
1000,1452,0.748112135,0.004115167,0.005500735,-0.001385568,2.22E-16
1000,1454,0.83087164,0.001714653,0.00206368,-0.000349027,0.000786376
1000,1455,0.855467683,0.001864383,0.002179373,-0.00031499,0.003211858
1000,1456,0.703224823,0.006950381,0.009883584,-0.002933203,0
1000,1459,0.602899159,0.001014302,0.001682374,-0.000668072,1.04E-12
1000,1465,0.852469887,0.001333082,0.001563788,-0.000230706,0.01085284
1000,1466,0.73546616,0.001193012,0.001622117,-0.000429105,3.11E-06
1000,1467,0.687830358,0.054265139,0.078893201,-0.024628062,0
1000,1468,0.624846781,0.053762818,0.086041601,-0.032278783,0
1000,1469,0.657120354,0.006452891,0.009819952,-0.003367061,0
1000,1475,0.672651041,0.010002946,0.01487093,-0.004867984,0
1000,1477,0.659109491,0.046686856,0.070833233,-0.024146377,0
1000,1478,1.000620202,0.009732466,0.009726434,6.03E-06,0.978724579
1000,1479,1.233182749,0.000347761,0.000282003,0.000065758,0.093247921
1000,1481,0.979585867,0.075406083,0.076977512,-0.001571429,0.010521722
1000,1482,0.790773724,0.003240935,0.004098436,-0.000857501,4.52E-09
1000,1483,0.833680941,0.00026082,0.000312854,-0.000052034,0.198958329
1000,1484,1.164799121,0.001444172,0.001239847,0.000204325,0.012473497
1000,1485,1.390386386,0.000304291,0.000218853,0.000085438,0.014215528
1000,1486,0.94568311,0.038268152,0.040466148,-0.002197996,1.26E-06
1000,1506,0.559219667,0.000874231,0.001563306,-0.000689075,2.66E-14
1000,1510,0.475865375,0.00026082,0.000548097,-0.000287277,9.68E-08
1000,1513,5.227125221,0.002207314,0.000422281,0.001785033,0
1000,1514,11.99367203,0.003492096,0.000291162,0.003200934,0
1000,1517,2.855329227,0.00026565,0.000093,0.00017265,6.65E-12
1000,1518,7.45751782,0.000787291,0.00010557,0.000681721,0
1000,1519,3.18419804,0.001449002,0.00045506,0.000993942,0
1000,1520,0.502776121,0.000473341,0.000941454,-0.000468113,3.05E-11
1000,1522,0.625847002,0.007984003,0.012757116,-0.004773113,0
1000,1523,0.577841916,0.004293877,0.007430885,-0.003137008,0
1000,1525,0.551477199,0.000400891,0.00072694,-0.000326049,1.29E-07
1000,1526,0.731502691,0.004467757,0.006107643,-0.001639886,0
1000,1527,0.677864264,0.001434512,0.002116224,-0.000681712,8.61E-11
1000,1531,0.892486064,0.001704993,0.001910386,-0.000205393,0.040406379
1000,1532,0.581551328,0.003352026,0.005763937,-0.002411911,0
1000,1533,0.684687266,0.00593608,0.008669768,-0.002733688,0
1000,1536,0.701265008,0.002516434,0.003588421,-0.001071987,4.44E-15
1000,1537,0.727548622,0.000444361,0.000610764,-0.000166403,0.003214362
1000,1539,0.790875262,0.000685861,0.000867218,-0.000181357,0.007091992
1000,1540,0.548451504,0.000574771,0.001047989,-0.000473218,1.75E-10
1000,1545,0.708525715,0.124222973,0.17532599,-0.051103017,0
1000,1546,0.677192967,0.17169712,0.253542385,-0.081845265,0
1000,1547,0.641542648,0.127816498,0.19923305,-0.071416552,0
1000,1548,0.679594926,0.031409541,0.046218034,-0.014808493,0
1000,1549,0.581918316,0.008896875,0.015288872,-0.006391997,0
1000,1550,0.718917864,0.042291549,0.058826677,-0.016535128,0
1000,1551,0.758652051,0.043677761,0.057572851,-0.01389509,0
1000,1552,0.591160745,0.002274934,0.003848249,-0.001573315,0
1000,1553,0.662427365,0.140403499,0.211953048,-0.071549549,0
1000,1554,0.72847722,0.088596834,0.121619224,-0.03302239,0
