D1,D2,RR,EXP_PROB1,EXP_PROB0,AR,PROBZ
1000,1313,1.003458,0.717525,0.715052,0.002473,0.016974
1000,1314,0.749698,0.544375,0.726125,-0.18175,0
1000,1315,0.648853,0.091213,0.140575,-0.049362,0
1000,1316,0.637529,0.213289,0.334556,-0.121267,0
1000,1317,0.795871,0.002706,0.0034,-0.000694,0
1000,1318,0.666411,0.148223,0.22242,-0.074197,0
1000,1319,0.601494,0.064755,0.107657,-0.042902,0
1000,1320,0.655732,0.082142,0.125268,-0.043126,0
1000,1321,0.663277,0.020565,0.031005,-0.01044,0
1000,1322,0.710252,0.130899,0.184299,-0.0534,0
1000,1323,0.67434,0.033614,0.049847,-0.016233,0
1000,1324,0.624489,0.172067,0.275533,-0.103466,0
1000,1327,0.849733,0.000418,0.000492,-0.000074,0.145851
1000,1335,1.098141,0.002172,0.001978,0.000194,0.059031
1000,1337,0.787237,0.002006,0.002549,-0.000543,3.00E-06
1000,1338,0.851872,0.005825,0.006838,-0.001013,0
1000,1339,0.829186,0.008895,0.010728,-0.001833,0
1000,1340,0.836067,0.000573,0.000686,-0.000113,0.06087
1000,1341,0.723459,0.006034,0.00834,-0.002306,0
1000,1342,0.818592,0.004591,0.005608,-0.001017,0
1000,1343,0.6501,0.006223,0.009573,-0.00335,0
1000,1344,0.646985,0.020351,0.031455,-0.011104,0
1000,1345,0.593721,0.060854,0.102495,-0.041641,0
1000,1346,0.583977,0.005874,0.010058,-0.004184,0
1000,1347,0.881048,0.000729,0.000827,-0.000098,0.135683
1000,1348,0.770712,0.073742,0.095681,-0.021939,0
1000,1349,0.702138,0.010547,0.015021,-0.004474,0
1000,1350,0.829143,0.019739,0.023806,-0.004067,0
1000,1352,0.772436,0.261696,0.338793,-0.077097,0
1000,1353,0.690897,0.06475,0.093719,-0.028969,0
1000,1354,0.784234,0.024646,0.031426,-0.00678,0
1000,1355,0.660691,0.006155,0.009316,-0.003161,0
1000,1356,0.925569,0.001001,0.001081,-0.00008,0.286409
1000,1357,0.855169,0.001506,0.001761,-0.000255,0.007957
1000,1358,0.738886,0.186569,0.252501,-0.065932,0
1000,1360,0.572225,0.013739,0.02401,-0.010271,0
1000,1361,1.061838,0.000539,0.000508,0.000031,0.546237
1000,1362,0.762708,0.086267,0.113106,-0.026839,0
1000,1363,0.664796,0.170586,0.256598,-0.086012,0
1000,1364,0.675399,0.012991,0.019234,-0.006243,0
1000,1365,0.596651,0.002186,0.003664,-0.001478,0
1000,1366,0.81689,0.011407,0.013964,-0.002557,0
1000,1367,0.859865,0.0005,0.000582,-0.000082,0.140167
1000,1369,0.896301,0.027225,0.030375,-0.00315,0
1000,1370,0.800753,0.000428,0.000534,-0.000106,0.044244
1000,1371,1.052686,0.000525,0.000498,0.000027,0.610389
